in s,C1 in V
-3.0444071,-0.43026489
-3.0443613,-0.44216675
-3.0443155,-0.45834106
-3.0442697,-0.46688599
-3.0442239,-0.47634644
-3.0441782,-0.48885864
-3.0441324,-0.50259155
-3.0440866,-0.51662964
-3.0440408,-0.52120728
-3.043995,-0.53249878
-3.0439492,-0.53799194
-3.0439035,-0.5511145
-3.0438577,-0.55935425
-3.0438119,-0.5688147
-3.0437661,-0.5801062
-3.0437203,-0.58682007
-3.0436745,-0.59475464
-3.0436288,-0.60268921
-3.043583,-0.61062378
-3.0435372,-0.61611694
-3.0434914,-0.62283081
-3.0434456,-0.63046021
-3.0433998,-0.63839478
-3.043354,-0.64510864
-3.0433083,-0.65029663
-3.0432625,-0.66036743
-3.0432167,-0.66341919
-3.0431709,-0.66647095
-3.0431251,-0.67745728
-3.0430793,-0.67654175
-3.0430336,-0.68203491
-3.0429878,-0.68630737
-3.042942,-0.69241089
-3.0428962,-0.69790405
-3.0428504,-0.70644897
-3.0428046,-0.71468872
-3.0427589,-0.72262329
-3.0427131,-0.73208374
-3.0426673,-0.73483032
-3.0426215,-0.73971313
-3.0425757,-0.74123901
-3.0425299,-0.75069946
-3.0424842,-0.75710815
-3.0424384,-0.75558228
-3.0423926,-0.76290649
-3.0423468,-0.76351685
-3.042301,-0.77206177
-3.0422552,-0.7754187
-3.0422094,-0.77816528
-3.0421637,-0.78060669
-3.0421179,-0.78518433
-3.0420721,-0.78884644
-3.0420263,-0.79189819
-3.0419805,-0.7931189
-3.0419347,-0.79769653
-3.041889,-0.80166382
-3.0418432,-0.79739136
-3.0417974,-0.79983276
-3.0417516,-0.80502075
-3.0417058,-0.80349487
-3.04166,-0.80532593
-3.0416143,-0.80654663
-3.0415685,-0.81051392
-3.0415227,-0.81173462
-3.0414769,-0.81509155
-3.0414311,-0.81875366
-3.0413853,-0.81783813
-3.0413396,-0.8221106
-3.0412938,-0.82577271
-3.041248,-0.82027954
-3.0412022,-0.82607788
-3.0411564,-0.82668823
-3.0411106,-0.8346228
-3.0410648,-0.84011597
-3.0410191,-0.84286255
-3.0409733,-0.84438843
-3.0409275,-0.84591431
-3.0408817,-0.84530396
-3.0408359,-0.84927124
-3.0407901,-0.8535437
-3.0407444,-0.85903687
-3.0406986,-0.86391968
-3.0406528,-0.86269897
-3.040607,-0.86758179
-3.0405612,-0.87154907
-3.0405154,-0.87795776
-3.0404697,-0.87917847
-3.0404239,-0.88772339
-3.0403781,-0.89474243
-3.0403323,-0.88955444
-3.0402865,-0.89870972
-3.0402407,-0.89840454
-3.040195,-0.90054077
-3.0401492,-0.90389771
-3.0401034,-0.90328735
-3.0400576,-0.90328735
-3.0400118,-0.90572876
-3.039966,-0.90969604
-3.0399202,-0.90694946
-3.0398745,-0.90511841
-3.0398287,-0.902677
-3.0397829,-0.89474243
-3.0397371,-0.89535278
-3.0396913,-0.89230103
-3.0396455,-0.88955444
-3.0395998,-0.88924927
-3.039554,-0.88833374
-3.0395082,-0.88497681
-3.0394624,-0.88558716
-3.0394166,-0.88467163
-3.0393708,-0.88619751
-3.0393251,-0.88467163
-3.0392793,-0.88589233
-3.0392335,-0.88650269
-3.0391877,-0.88039917
-3.0391419,-0.87276978
-3.0390961,-0.87002319
-3.0390504,-0.86544556
-3.0390046,-0.85781616
-3.0389588,-0.85293335
-3.038913,-0.84805054
-3.0388672,-0.84316772
-3.0388214,-0.8434729
-3.0387756,-0.84042114
-3.0387299,-0.83859009
-3.0386841,-0.84255737
-3.0386383,-0.84164185
-3.0385925,-0.84072632
-3.0385467,-0.83767456
-3.0385009,-0.83797974
-3.0384552,-0.83614868
-3.0384094,-0.83584351
-3.0383636,-0.8334021
-3.0383178,-0.83645386
-3.038272,-0.83370728
-3.0382262,-0.82882446
-3.0381805,-0.83126587
-3.0381347,-0.82668823
-3.0380889,-0.82760376
-3.0380431,-0.82577271
-3.0379973,-0.82180542
-3.0379515,-0.81875366
-3.0379058,-0.81600708
-3.03786,-0.80990356
-3.0378142,-0.80715698
-3.0377684,-0.80196899
-3.0377226,-0.80105347
-3.0376768,-0.79586548
-3.037631,-0.79281372
-3.0375853,-0.78457397
-3.0375395,-0.77724976
-3.0374937,-0.774198
-3.0374479,-0.76321167
-3.0374021,-0.75619263
-3.0373563,-0.74917358
-3.0373106,-0.74551147
-3.0372648,-0.73360962
-3.037219,-0.73269409
-3.0371732,-0.72964233
-3.0371274,-0.72384399
-3.0370816,-0.71651978
-3.0370359,-0.70248169
-3.0369901,-0.69393677
-3.0369443,-0.68935913
-3.0368985,-0.68020386
-3.0368527,-0.66952271
-3.0368069,-0.6594519
-3.0367612,-0.6481604
-3.0367154,-0.63900513
-3.0366696,-0.62954468
-3.0366238,-0.62283081
-3.036578,-0.6090979
-3.0365322,-0.60574097
-3.0364864,-0.59750122
-3.0364407,-0.58956665
-3.0363949,-0.57980103
-3.0363491,-0.57064575
-3.0363033,-0.56088013
-3.0362575,-0.55477661
-3.0362117,-0.54623169
-3.036166,-0.53677124
-3.0361202,-0.52731079
-3.0360744,-0.52517456
-3.0360286,-0.51998657
-3.0359828,-0.51113647
-3.035937,-0.50228638
-3.0358913,-0.49160522
-3.0358455,-0.48641724
-3.0357997,-0.47878784
-3.0357539,-0.47237915
-3.0357081,-0.47146362
-3.0356623,-0.46566528
-3.0356166,-0.45223755
-3.0355708,-0.44582886
-3.035525,-0.44094604
-3.0354792,-0.43514771
-3.0354334,-0.42355103
-3.0353876,-0.41958374
-3.0353418,-0.40554565
-3.0352961,-0.40463013
-3.0352503,-0.39852661
-3.0352045,-0.39028687
-3.0351587,-0.38418335
-3.0351129,-0.37746948
-3.0350671,-0.37197632
-3.0350214,-0.36190552
-3.0349756,-0.35549683
-3.0349298,-0.34786743
-3.034884,-0.33718628
-3.0348382,-0.32833618
-3.0347924,-0.32162231
-3.0347467,-0.31063599
-3.0347009,-0.30178589
-3.0346551,-0.29446167
-3.0346093,-0.28835815
-3.0345635,-0.27554077
-3.0345177,-0.26943726
-3.034472,-0.26180786
-3.0344262,-0.25478882
-3.0343804,-0.2486853
-3.0343346,-0.23678345
-3.0342888,-0.23067993
-3.034243,-0.22488159
-3.0341972,-0.21175903
-3.0341515,-0.20229858
-3.0341057,-0.19588989
-3.0340599,-0.18642944
-3.0340141,-0.17635864
-3.0339683,-0.16476196
-3.0339225,-0.15530151
-3.0338768,-0.14980835
-3.033831,-0.14553589
-3.0337852,-0.13882202
-3.0337394,-0.13180298
-3.0336936,-0.12569946
-3.0336478,-0.11776489
-3.0336021,-0.11044067
-3.0335563,-0.10433716
-3.0335105,-0.097928467
-3.0334647,-0.096402588
-3.0334189,-0.092435303
-3.0333731,-0.086942139
-3.0333274,-0.076871338
-3.0332816,-0.075650635
-3.0332358,-0.067410889
-3.03319,-0.064053955
-3.0331442,-0.06008667
-3.0330984,-0.053983154
-3.0330526,-0.053067627
-3.0330069,-0.043607178
-3.0329611,-0.037808838
-3.0329153,-0.034146729
-3.0328695,-0.028348389
-3.0328237,-0.017972412
-3.0327779,-0.014310303
-3.0327322,-0.006070557
-3.0326864,-0.00149292
-3.0326406,0.004610596
-3.0325948,0.011934814
-3.032549,0.019259033
-3.0325032,0.024752197
-3.0324575,0.026583252
-3.0324117,0.033907471
-3.0323659,0.040010986
-3.0323201,0.046419678
-3.0322743,0.049471436
-3.0322285,0.051912842
-3.0321828,0.061678467
-3.032137,0.06869751
-3.0320912,0.075716553
-3.0320454,0.083956299
-3.0319996,0.090975342
-3.0319538,0.10165649
-3.031908,0.10898071
-3.0318623,0.12210327
-3.0318165,0.13614136
-3.0317707,0.1419397
-3.0317249,0.15140015
-3.0316791,0.15994507
-3.0316333,0.16665894
-3.0315876,0.17642456
-3.0315418,0.18283325
-3.031496,0.18985229
-3.0314502,0.20389038
-3.0314044,0.21457153
-3.0313586,0.22159058
-3.0313129,0.22769409
-3.0312671,0.24081665
-3.0312213,0.25302368
-3.0311755,0.25851685
-3.0311297,0.26767212
-3.0310839,0.28018433
-3.0310382,0.2893396
-3.0309924,0.29330688
-3.0309466,0.30398804
-3.0309008,0.30765015
-3.030855,0.3183313
-3.0308092,0.32596069
-3.0307634,0.33694702
-3.0307177,0.34457642
-3.0306719,0.35647827
-3.0306261,0.36502319
-3.0305803,0.37356812
-3.0305345,0.37845093
-3.0304887,0.38394409
-3.030443,0.39798218
-3.0303972,0.40378052
-3.0303514,0.41507202
