in s,C1 in V
-3.044636,-1.639235
-3.0445902,-1.641524
-3.0445444,-1.644118
-3.0444986,-1.646254
-3.0444529,-1.648085
-3.0444071,-1.649764
-3.0443613,-1.650527
-3.0443155,-1.650984
-3.0442697,-1.650222
-3.0442239,-1.648848
-3.0441782,-1.645186
-3.0441324,-1.641066
-3.0440866,-1.636336
-3.0440408,-1.629775
-3.043995,-1.622298
-3.0439492,-1.61238
-3.0439035,-1.602156
-3.0438577,-1.590865
-3.0438119,-1.578047
-3.0437661,-1.563857
-3.0437203,-1.54814
-3.0436745,-1.529982
-3.0436288,-1.513503
-3.043583,-1.495955
-3.0435372,-1.475508
-3.0434914,-1.456588
-3.0434456,-1.436904
-3.0433998,-1.416609
-3.043354,-1.397231
-3.0433083,-1.376479
-3.0432625,-1.3571
-3.0432167,-1.338027
-3.0431709,-1.319258
-3.0431251,-1.29988
-3.0430793,-1.281569
-3.0430336,-1.264479
-3.0429878,-1.248458
-3.042942,-1.231826
-3.0428962,-1.215956
-3.0428504,-1.199477
-3.0428046,-1.182692
-3.0427589,-1.165602
-3.0427131,-1.148513
-3.0426673,-1.13188
-3.0426215,-1.11418
-3.0425757,-1.095717
-3.0425299,-1.077407
-3.0424842,-1.057112
-3.0424384,-1.035598
-3.0423926,-1.014388
-3.0423468,-0.9918048
-3.042301,-0.9696796
-3.0422552,-0.9464862
-3.0422094,-0.9222247
-3.0421637,-0.8978107
-3.0421179,-0.873244
-3.0420721,-0.8508136
-3.0420263,-0.8279254
-3.0419805,-0.8050372
-3.0419347,-0.7842853
-3.041889,-0.7639911
-3.0418432,-0.7441547
-3.0417974,-0.7238605
-3.0417516,-0.7038715
-3.0417058,-0.6849506
-3.04166,-0.6681659
-3.0416143,-0.6515338
-3.0415685,-0.6353595
-3.0415227,-0.6185748
-3.0414769,-0.6025531
-3.0414311,-0.5860736
-3.0413853,-0.5694415
-3.0413396,-0.5528094
-3.0412938,-0.5351093
-3.041248,-0.5184772
-3.0412022,-0.5018451
-3.0411564,-0.4850604
-3.0411106,-0.4664447
-3.0410648,-0.4469135
-3.0410191,-0.4279926
-3.0409733,-0.4095294
-3.0409275,-0.3909137
-3.0408817,-0.3700092
-3.0408359,-0.3483417
-3.0407901,-0.3257587
-3.0407444,-0.3024127
-3.0406986,-0.2795245
-3.0406528,-0.2563312
-3.040607,-0.2316119
-3.0405612,-0.2044513
-3.0405154,-0.1794269
-3.0404697,-0.1533344
-3.0404239,-0.1272418
-3.0403781,-0.09962341
-3.0403323,-0.072005
-3.0402865,-0.04499695
-3.0402407,-0.01814148
-3.040195,0.008561401
-3.0401492,0.03465393
-3.0401034,0.06074646
-3.0400576,0.08805969
-3.0400118,0.1155255
-3.039966,0.1420758
-3.0399202,0.1692365
-3.0398745,0.1973126
-3.0398287,0.2229474
-3.0397829,0.2494977
-3.0397371,0.276048
-3.0396913,0.3033612
-3.0396455,0.3293011
-3.0395998,0.3556989
-3.039554,0.3824017
-3.0395082,0.4087994
-3.0394624,0.4355023
-3.0394166,0.4608319
-3.0393708,0.4872296
-3.0393251,0.5125592
-3.0392793,0.5365155
-3.0392335,0.5616925
-3.0391877,0.5867169
-3.0391419,0.6109784
-3.0390961,0.6358502
-3.0390504,0.6595013
-3.0390046,0.6829999
-3.0389588,0.7054303
-3.038913,0.7290814
-3.0388672,0.7513593
-3.0388214,0.7745526
-3.0387756,0.7949994
-3.0387299,0.8154462
-3.0386841,0.8372662
-3.0386383,0.8571027
-3.0385925,0.875871
-3.0385467,0.8949445
-3.0385009,0.9129498
-3.0384552,0.9304974
-3.0384094,0.9481976
-3.0383636,0.9649823
-3.0383178,0.9814618
-3.038272,0.9967206
-3.0382262,1.012895
-3.0381805,1.029222
-3.0381347,1.045396
-3.0380889,1.060807
-3.0380431,1.075761
-3.0379973,1.09102
-3.0379515,1.105821
-3.0379058,1.119859
-3.03786,1.132524
-3.0378142,1.145036
-3.0377684,1.157243
-3.0377226,1.168229
-3.0376768,1.179063
-3.037631,1.190812
-3.0375853,1.200883
-3.0375395,1.210191
-3.0374937,1.217973
-3.0374479,1.226671
-3.0374021,1.23491
-3.0373563,1.241777
-3.0373106,1.248643
-3.0372648,1.255662
-3.037219,1.261766
-3.0371732,1.267259
-3.0371274,1.273973
-3.0370816,1.280992
-3.0370359,1.286638
-3.0369901,1.293046
-3.0369443,1.298539
-3.0368985,1.303422
-3.0368527,1.310289
-3.0368069,1.317155
-3.0367612,1.323716
-3.0367154,1.331041
-3.0366696,1.338365
-3.0366238,1.34813
-3.036578,1.357591
-3.0365322,1.36812
-3.0364864,1.37819
-3.0364407,1.388414
-3.0363949,1.3994
-3.0363491,1.410692
-3.0363033,1.423051
-3.0362575,1.4348
-3.0362117,1.444413
-3.036166,1.455095
-3.0361202,1.465471
-3.0360744,1.475694
-3.0360286,1.484697
-3.0359828,1.492173
-3.035937,1.499193
-3.0358913,1.506364
-3.0358455,1.512315
-3.0357997,1.517503
-3.0357539,1.521318
-3.0357081,1.524522
-3.0356623,1.527116
-3.0356166,1.528947
-3.0355708,1.53032
-3.035525,1.533067
-3.0354792,1.53383
-3.0354334,1.535356
-3.0353876,1.535051
-3.0353418,1.534898
-3.0352961,1.535051
-3.0352503,1.535508
-3.0352045,1.536577
-3.0351587,1.537339
-3.0351129,1.539018
-3.0350671,1.540086
-3.0350214,1.540239
-3.0349756,1.541765
-3.0349298,1.544664
-3.034884,1.545884
-3.0348382,1.548021
-3.0347924,1.549547
-3.0347467,1.550615
-3.0347009,1.551988
-3.0346551,1.553972
-3.0346093,1.553666
-3.0345635,1.553972
-3.0345177,1.553972
-3.034472,1.552751
-3.0344262,1.549852
-3.0343804,1.546495
-3.0343346,1.542375
-3.0342888,1.537187
-3.034243,1.531083
-3.0341972,1.523454
-3.0341515,1.513994
-3.0341057,1.50377
-3.0340599,1.492936
-3.0340141,1.479966
-3.0339683,1.467302
-3.0339225,1.452501
-3.0338768,1.438005
-3.033831,1.420915
-3.0337852,1.403825
-3.0337394,1.387193
-3.0336936,1.369188
-3.0336478,1.350724
-3.0336021,1.332414
-3.0335563,1.314561
-3.0335105,1.296403
-3.0334647,1.279161
-3.0334189,1.261766
-3.0333731,1.245134
-3.0333274,1.229112
-3.0332816,1.213243
-3.0332358,1.197831
-3.03319,1.18242
-3.0331442,1.166856
-3.0330984,1.15114
-3.0330526,1.136644
-3.0330069,1.1223
-3.0329611,1.107652
-3.0329153,1.091935
-3.0328695,1.075761
-3.0328237,1.06035
-3.0327779,1.044481
-3.0327322,1.028306
-3.0326864,1.010911
-3.0326406,0.9932111
-3.0325948,0.9736798
-3.032549,0.953233
-3.0325032,0.9335492
-3.0324575,0.9143231
